stats_o/std,test/mean_Q,train/success_rate,test/success_rate,train/critic_loss,epoch,stats_o/mean,stats_g/std,test/ag_g_dist,stats_g/mean,train/episode,test/episode
0.047803935,-0.0009164728,0.05499999999999999,0.10000000000000002,0.0018305654,0,0.20121314,0.07019926,0.17464869,0.83745885,100.0,20.0
0.044715557,-0.0012163107,0.07833333333333332,0.016666666666666666,0.0034182456,1,0.20093721,0.0697821,0.181446,0.83739257,200.0,40.0
0.042176917,-0.0016093235,0.065,0.041666666666666664,0.0007097854,2,0.2009515,0.06945605,0.16599339,0.8374712,300.0,60.0
0.041233853,0.0046204245,0.06666666666666667,0.06666666666666667,0.0008268859,3,0.20116596,0.06945688,0.1755353,0.83817387,400.0,80.0
0.041580305,0.000575109,0.075,0.049999999999999996,0.0006246438,4,0.20143954,0.069531836,0.1778245,0.83897996,500.0,100.0
0.041181106,-0.0019762856,0.065,0.075,0.00041807754,5,0.20151119,0.06949959,0.16249377,0.839047,600.0,120.0
0.04088088,0.00069064175,0.056666666666666664,0.09166666666666667,0.00044938564,6,0.20147884,0.06942706,0.16365816,0.8389651,700.0,140.0
0.041003086,0.006771973,0.07500000000000001,0.09166666666666667,0.0019218274,7,0.20157164,0.069420174,0.1706879,0.8392902,800.0,160.0
0.040453065,-0.0024750226,0.05166666666666667,0.075,0.0008706585,8,0.20156305,0.06941516,0.16722286,0.8392861,900.0,180.0
0.040093586,-0.0007138746,0.065,0.08333333333333333,0.00056370324,9,0.20151763,0.06946034,0.18175173,0.8391231,1000.0,200.0
0.039737742,9.356869e-05,0.085,0.08333333333333333,0.00082985265,10,0.20143865,0.069414414,0.16932867,0.83880335,1100.0,220.0
0.039807703,-0.00045943438,0.07,0.10000000000000002,0.00028276644,11,0.20142536,0.06943615,0.15560913,0.8387341,1200.0,240.0
0.03949305,-0.00051688583,0.06833333333333334,0.06666666666666667,0.00015493201,12,0.20145269,0.06938339,0.15986742,0.8388481,1300.0,260.0
0.039235536,-0.0040818662,0.07333333333333333,0.03333333333333333,0.0010134476,13,0.20143457,0.06933423,0.17973137,0.838737,1400.0,280.0
0.03911506,-0.0006197771,0.06333333333333334,0.041666666666666664,0.0011901729,14,0.20141588,0.06935876,0.16694479,0.838634,1500.0,300.0
0.038974956,-0.00037083632,0.07833333333333332,0.09166666666666667,0.0005471945,15,0.20136161,0.06935453,0.17704745,0.838515,1600.0,320.0
0.03903994,-0.0033137456,0.051666666666666666,0.05833333333333333,0.009687605,16,0.2013398,0.06933624,0.1673503,0.83850366,1700.0,340.0
0.038791653,-0.0012404004,0.08333333333333333,0.041666666666666664,0.0004176906,17,0.20135756,0.06934336,0.17520517,0.8386045,1800.0,360.0
0.038791113,-0.0029114077,0.08333333333333333,0.05833333333333334,0.00040354204,18,0.20133221,0.069338,0.17506342,0.8385213,1900.0,380.0
0.038638745,-0.0012821936,0.07666666666666667,0.08333333333333333,0.0003226669,19,0.20131285,0.069325335,0.16660887,0.8384509,2000.0,400.0
0.03892158,-0.003811595,0.061666666666666675,0.06666666666666667,0.0011032998,20,0.2013244,0.069365986,0.17052336,0.83847505,2100.0,420.0
0.03873141,-0.00023832149,0.06666666666666667,0.08333333333333333,0.0007903413,21,0.20131369,0.06938596,0.16844481,0.8384468,2200.0,440.0
0.03872392,0.00047954987,0.06166666666666667,0.05833333333333334,0.00041242442,22,0.20126379,0.06942267,0.17727761,0.8382403,2300.0,460.0
0.038593605,-0.00037132003,0.06,0.06666666666666667,0.00041593972,23,0.20123325,0.06942508,0.1804351,0.8381369,2400.0,480.0
0.0385815,0.0005924085,0.06333333333333334,0.09999999999999999,0.00048000415,24,0.2012741,0.06943058,0.17021318,0.8382775,2500.0,500.0
0.03853434,-0.0007072335,0.06,0.05000000000000001,0.0008177203,25,0.201294,0.0694203,0.17449975,0.8383239,2600.0,520.0
0.03872255,-0.0013314761,0.08666666666666667,0.075,0.0005965208,26,0.20127137,0.06943323,0.17029743,0.8382585,2700.0,540.0
0.038950454,-0.00048259264,0.06666666666666667,0.11666666666666665,0.0005553696,27,0.20123641,0.06945581,0.15678422,0.83815783,2800.0,560.0
0.03887606,0.00045130975,0.05333333333333334,0.041666666666666664,0.00024132704,28,0.2012298,0.06945518,0.18131836,0.8381503,2900.0,580.0
0.038782425,-0.0029513075,0.075,0.041666666666666664,0.0014528536,29,0.20121895,0.06947346,0.18085118,0.8381074,3000.0,600.0
