stats_o/mean,stats_g/std,test/ag_g_dist,train/critic_loss,train/episode,stats_o/std,test/episode,train/success_rate,test/mean_Q,test/success_rate,epoch,stats_g/mean
0.20084448,0.070753135,0.17528743,0.15271658,100.0,0.043080147,20.0,0.05333333333333334,-2.4629831,0.06666666666666667,0,0.8370054
0.20104311,0.07307688,0.1841588,0.2909028,200.0,0.044606175,40.0,0.06833333333333334,-4.6056027,0.0,1,0.8369615
0.20085199,0.0737236,0.16814142,0.3048829,300.0,0.045681532,60.0,0.036666666666666674,-6.6192665,0.008333333333333333,2,0.8369842
0.2011863,0.0782148,0.17916806,0.30265173,400.0,0.050967406,80.0,0.01,-8.61306,0.0,3,0.83741003
0.20155273,0.07930243,0.17940025,0.29522717,500.0,0.05408181,100.0,0.026666666666666672,-10.379296,0.05000000000000001,4,0.8381746
0.20168047,0.08003304,0.16144937,0.28683004,600.0,0.055579256,120.0,0.028333333333333332,-11.802494,0.09166666666666667,5,0.83821493
0.20147888,0.079573326,0.15321493,0.28812945,700.0,0.059918717,140.0,0.09333333333333334,-11.713036,0.27499999999999997,6,0.838217
0.20150854,0.07894816,0.1455125,0.31045493,800.0,0.0651211,160.0,0.25166666666666665,-11.335464,0.4416666666666667,7,0.8388129
0.20134705,0.07877894,0.11689373,0.29872915,900.0,0.07111396,180.0,0.39333333333333337,-10.073822,0.5833333333333334,8,0.8387894
0.20102884,0.078588516,0.08545337,0.3152791,1000.0,0.07766312,200.0,0.5,-8.431636,0.775,9,0.83861303
0.20107125,0.07904347,0.06755092,0.35321927,1100.0,0.085814886,220.0,0.63,-7.100922,0.8833333333333334,10,0.83825904
0.20107502,0.07904527,0.049528826,0.326708,1200.0,0.092927694,240.0,0.7283333333333334,-5.8179946,0.9416666666666668,11,0.8382544
0.20100276,0.079219654,0.047079355,0.27988642,1300.0,0.097968854,260.0,0.7316666666666666,-5.730556,0.9666666666666667,12,0.83829945
0.2011333,0.07905372,0.05550343,0.27735677,1400.0,0.10151341,280.0,0.8283333333333335,-5.8109097,0.9666666666666667,13,0.83816224
0.20114128,0.07913793,0.04587716,0.2792189,1500.0,0.10396282,300.0,0.7833333333333333,-5.954489,0.9666666666666667,14,0.8380386
0.2012205,0.0784211,0.054510295,0.288808,1600.0,0.10582528,320.0,0.8483333333333333,-6.1704345,0.9583333333333334,15,0.8381398
0.20142396,0.07836848,0.042414885,0.29496378,1700.0,0.10703316,340.0,0.8166666666666668,-5.7907968,0.9916666666666667,16,0.8381595
0.20146811,0.07809517,0.043644506,0.2629532,1800.0,0.108033806,360.0,0.85,-5.8315387,0.9916666666666667,17,0.8383624
0.20143038,0.07785336,0.047310095,0.29941967,1900.0,0.109061815,380.0,0.8633333333333333,-6.419935,0.9583333333333334,18,0.8384362
0.20139669,0.07758089,0.041805238,0.24857658,2000.0,0.1097455,400.0,0.8583333333333334,-5.8162656,0.9916666666666667,19,0.8384438
0.20143919,0.07765103,0.040664893,0.27977347,2100.0,0.110394634,420.0,0.8316666666666667,-6.074741,1.0,20,0.8384337
0.20154287,0.07740228,0.041925237,0.2773278,2200.0,0.11108903,440.0,0.8683333333333333,-6.2443614,0.9916666666666667,21,0.8384612
0.20160902,0.07699812,0.043676693,0.2697887,2300.0,0.111768596,460.0,0.87,-6.4361725,0.975,22,0.8383699
0.20164736,0.076698914,0.04562372,0.272745,2400.0,0.11229666,480.0,0.8566666666666668,-6.4310126,0.9916666666666667,23,0.838388
0.20177902,0.076499544,0.04010084,0.2348275,2500.0,0.11290747,500.0,0.8583333333333334,-6.352207,0.9916666666666667,24,0.8384096
0.20169254,0.0762434,0.03943296,0.35558116,2600.0,0.1133961,520.0,0.875,-6.433628,1.0,25,0.8383835
0.20166314,0.07599427,0.04032698,0.23352754,2700.0,0.11386194,540.0,0.86,-6.5517545,1.0,26,0.8383278
0.20175241,0.075897045,0.036698796,0.30219063,2800.0,0.11412204,560.0,0.8483333333333333,-6.394774,1.0,27,0.83838624
0.20177847,0.07580199,0.04118022,0.24487503,2900.0,0.114386,580.0,0.8866666666666667,-6.707035,1.0,28,0.8383267
0.20182447,0.07559046,0.042226266,0.27099526,3000.0,0.11476663,600.0,0.8766666666666666,-7.471499,1.0,29,0.83828807
