epoch,test/mean_Q,train/episode,train/critic_loss,test/episode,train/success_rate,stats_g/std,stats_o/mean,stats_g/mean,test/success_rate,stats_o/std,test/ag_g_dist
0,-2.2626436,100.0,0.023613503,20.0,0.0,0.23602946,0.18990858,0.378217,0.0,0.7481794,1.0186397
1,-4.1130805,200.0,0.02725097,40.0,0.0,0.23803253,0.19307567,0.38078928,0.0,0.7539236,1.0158929
2,-5.848104,300.0,0.028196773,60.0,0.0,0.2394193,0.19200455,0.3797376,0.0,0.75925225,0.96872073
3,-8.144377,400.0,0.030807717,80.0,0.0,0.23909624,0.19119154,0.3793932,0.0,0.7630628,1.0462636
4,-9.793422,500.0,0.033436466,100.0,0.0,0.2395065,0.19119315,0.37807092,0.0,0.7641885,0.9791665
5,-11.58698,600.0,0.04051722,120.0,0.0,0.24090107,0.19094753,0.37703833,0.0,0.76389647,1.001007
6,-13.485393,700.0,0.045274258,140.0,0.0,0.24179451,0.19092123,0.37651137,0.0,0.76614636,1.0801454
7,-14.89756,800.0,0.047651887,160.0,0.0,0.2415256,0.19097847,0.3755891,0.0,0.7684796,0.96116066
8,-15.948514,900.0,0.048200164,180.0,0.0,0.24141793,0.19123133,0.3745378,0.0,0.77107257,0.8924162
9,-18.37058,1000.0,0.052935228,200.0,0.0,0.24171282,0.19113116,0.37394294,0.0,0.77381057,0.998522
10,-19.96042,1100.0,0.05604304,220.0,0.0,0.24186657,0.19117476,0.37363532,0.0,0.77820796,0.965673
11,-20.466072,1200.0,0.063124366,240.0,0.0,0.24235328,0.19115627,0.37330642,0.0,0.7817437,0.9613514
12,-21.879126,1300.0,0.06680021,260.0,0.0,0.2424301,0.1912223,0.37292108,0.0,0.7873946,0.9776296
13,-22.995865,1400.0,0.06635913,280.0,0.0,0.24277191,0.19094998,0.37221995,0.0,0.7937823,0.9717991
14,-24.552343,1500.0,0.07004673,300.0,0.0,0.2429655,0.19082327,0.37190923,0.0,0.8001015,1.0038849
15,-24.215082,1600.0,0.08123375,320.0,0.0,0.2430666,0.19073206,0.371713,0.0,0.80703706,0.8789204
16,-25.005432,1700.0,0.09905907,340.0,0.0,0.2431118,0.19045074,0.37091732,0.0,0.81388235,0.85625905
17,-25.273079,1800.0,0.08384133,360.0,0.0,0.24292354,0.18997663,0.3705702,0.0,0.820791,0.9009862
18,-23.184698,1900.0,0.09577312,380.0,0.0,0.24297313,0.18960361,0.3705407,0.0,0.82814986,0.80945015
19,-24.24646,2000.0,0.09921377,400.0,0.0,0.24280162,0.18955366,0.3707538,0.0,0.8350422,0.7325668
20,-25.838522,2100.0,0.11480108,420.0,0.0,0.24271949,0.18937719,0.37106094,0.0,0.8422772,0.7787264
21,-25.132696,2200.0,0.10111215,440.0,0.0,0.24275295,0.18915384,0.37108806,0.0,0.8497648,0.7367304
22,-25.46234,2300.0,0.11762109,460.0,0.0016666666666666668,0.24264745,0.18893123,0.37069622,0.0,0.85659,0.7355638
23,-21.568743,2400.0,0.105981946,480.0,0.0,0.24277858,0.18861727,0.37065354,0.0,0.8628819,0.616669
24,-26.15058,2500.0,0.1358867,500.0,0.0,0.24274923,0.18832426,0.37068567,0.0,0.8694405,0.71775466
25,-25.771032,2600.0,0.18240444,520.0,0.0,0.2426349,0.18809766,0.37077394,0.0,0.8755186,0.7017854
26,-22.795485,2700.0,0.12464651,540.0,0.0,0.24248965,0.18804127,0.3709155,0.0,0.8812432,0.6589655
27,-26.375479,2800.0,0.15352227,560.0,0.0,0.2422588,0.18798025,0.3708916,0.0,0.88694316,0.71494466
28,-23.060114,2900.0,0.16379371,580.0,0.0016666666666666668,0.2420222,0.18775012,0.3709797,0.0,0.892083,0.61720294
29,-25.128677,3000.0,0.15113947,600.0,0.0,0.24194074,0.18749006,0.37082076,0.0,0.8971165,0.66469413
30,-22.752604,3100.0,0.119398355,620.0,0.0,0.24171896,0.18724187,0.37079665,0.0,0.9018411,0.61697
31,-24.356903,3200.0,0.12765865,640.0,0.0,0.24165778,0.18696089,0.37091205,0.0,0.9063274,0.6093657
32,-23.112038,3300.0,0.14467125,660.0,0.0,0.2415158,0.18664916,0.37080303,0.0,0.9107792,0.5963827
33,-24.718996,3400.0,0.216794,680.0,0.0,0.24126013,0.18638939,0.37092468,0.0,0.9151127,0.6259145
34,-24.954382,3500.0,0.18374252,700.0,0.0,0.24105115,0.18610005,0.37099245,0.0,0.91930133,0.6413692
35,-23.290197,3600.0,0.17180668,720.0,0.0,0.24086718,0.18591575,0.37098005,0.0,0.9232991,0.5711577
36,-21.36126,3700.0,0.17827761,740.0,0.0,0.24069773,0.1856323,0.37099501,0.0,0.926989,0.55568415
37,-20.28561,3800.0,0.14125988,760.0,0.0,0.24057053,0.1854031,0.37107763,0.0,0.93057793,0.5391762
38,-21.743113,3900.0,0.2671137,780.0,0.0016666666666666668,0.24045186,0.18516956,0.37121788,0.0,0.9338593,0.6136121
39,-20.421331,4000.0,0.14585344,800.0,0.0,0.2402906,0.18500829,0.37138256,0.0,0.93693024,0.5380187
40,-17.975855,4100.0,0.1938855,820.0,0.0,0.24005957,0.18480437,0.3715984,0.0,0.93997407,0.45597517
41,-19.694519,4200.0,0.1499833,840.0,0.0,0.23987825,0.18464845,0.3718079,0.008333333333333333,0.94282264,0.52095264
42,-19.419441,4300.0,0.16097416,860.0,0.0,0.23990162,0.18438542,0.37177512,0.0,0.94568807,0.5199463
43,-18.937737,4400.0,0.15551941,880.0,0.0,0.23983727,0.18421535,0.3719274,0.0,0.9484449,0.5152187
44,-16.611063,4500.0,0.18901771,900.0,0.0,0.23975389,0.18403591,0.37192777,0.008333333333333333,0.95102996,0.47340003
45,-16.989449,4600.0,0.16928077,920.0,0.0,0.23977982,0.18386869,0.37201598,0.0,0.953499,0.43633452
46,-17.561544,4700.0,0.1672389,940.0,0.0,0.23970671,0.18372174,0.3719928,0.0,0.9557465,0.46983925
47,-16.101156,4800.0,0.14670213,960.0,0.0,0.2395271,0.18351161,0.37216088,0.0,0.9580621,0.45266804
48,-16.391333,4900.0,0.14503653,980.0,0.0,0.23942065,0.18337278,0.37209204,0.0,0.96019435,0.48612404
49,-17.417585,5000.0,0.14650129,1000.0,0.0,0.23933852,0.18325736,0.37216035,0.0,0.96226144,0.48828974
