stats_g/std,train/episode,epoch,test/mean_Q,stats_o/std,train/critic_loss,train/success_rate,stats_g/mean,test/episode,test/success_rate,stats_o/mean
0.06201211,100.0,0,-2.0941389,0.042037923,0.052793384,0.056666666666666664,0.8388899,20.0,0.10000000000000002,0.20094633
0.061551046,200.0,1,-4.1806207,0.040612407,0.045863345,0.07833333333333332,0.8390105,40.0,0.016666666666666666,0.20096846
0.06113909,300.0,2,-5.804849,0.039067894,0.09613613,0.06,0.8391831,60.0,0.041666666666666664,0.2009694
0.061099347,400.0,3,-7.4038906,0.038301855,0.14354049,0.06666666666666667,0.83921915,80.0,0.06666666666666667,0.20120485
0.06122978,500.0,4,-9.113991,0.039407913,0.21303844,0.07166666666666666,0.8396826,100.0,0.05833333333333333,0.20134401
0.061157197,600.0,5,-10.342628,0.03873383,0.4188688,0.065,0.8394308,120.0,0.06666666666666667,0.201411
0.06091324,700.0,6,-11.644081,0.03883277,0.29961452,0.056666666666666664,0.83916426,140.0,0.09166666666666667,0.20139508
0.060996667,800.0,7,-12.637591,0.039396003,0.45509756,0.07833333333333334,0.83912665,160.0,0.09999999999999999,0.2015094
0.06107181,900.0,8,-14.5282755,0.039289735,0.41910854,0.06166666666666667,0.83925086,180.0,0.05833333333333334,0.20149736
0.061068043,1000.0,9,-15.959514,0.038914274,0.8389149,0.07666666666666666,0.8392935,200.0,0.08333333333333333,0.20145208
0.060982037,1100.0,10,-16.415888,0.03879988,1.0187997,0.08333333333333333,0.8389778,220.0,0.08333333333333333,0.20139599
0.060956355,1200.0,11,-17.564718,0.038838826,0.8810428,0.07,0.8389077,240.0,0.10000000000000002,0.20140259
0.06093822,1300.0,12,-18.858496,0.039098047,0.855141,0.065,0.83884126,260.0,0.06666666666666667,0.20144524
0.060935903,1400.0,13,-20.620478,0.03925512,1.0481536,0.075,0.8386631,280.0,0.03333333333333333,0.20143692
0.060935605,1500.0,14,-20.94491,0.039357647,0.8171957,0.065,0.8385408,300.0,0.041666666666666664,0.2014118
0.06085745,1600.0,15,-20.851822,0.0398949,1.6407185,0.075,0.83858484,320.0,0.09166666666666667,0.20136936
0.06089826,1700.0,16,-21.141172,0.04058616,1.1832389,0.05166666666666667,0.8386302,340.0,0.05833333333333333,0.20136996
0.060941186,1800.0,17,-22.548769,0.041065846,2.3709953,0.07833333333333332,0.83881027,360.0,0.041666666666666664,0.2013763
0.060979728,1900.0,18,-20.949295,0.041971847,1.552365,0.08333333333333333,0.8388295,380.0,0.049999999999999996,0.2013654
0.06101134,2000.0,19,-21.018969,0.042502318,1.6396369,0.07,0.8387902,400.0,0.08333333333333333,0.20133877
0.061012056,2100.0,20,-20.910982,0.04298605,1.6214486,0.06166666666666667,0.8387435,420.0,0.06666666666666667,0.20134147
0.06105673,2200.0,21,-21.075178,0.043608304,1.8557483,0.06666666666666667,0.83879095,440.0,0.09166666666666667,0.20135634
0.06101723,2300.0,22,-22.575472,0.04432827,2.2830427,0.06166666666666667,0.83868414,460.0,0.05833333333333334,0.20129311
0.060978685,2400.0,23,-22.593897,0.045078445,2.4925878,0.06333333333333334,0.8387187,480.0,0.06666666666666667,0.20125115
0.060978327,2500.0,24,-21.470947,0.045881003,1.8220128,0.06333333333333334,0.83875275,500.0,0.09999999999999999,0.20127387
0.060986713,2600.0,25,-21.64995,0.046446856,1.6956758,0.06,0.8387305,520.0,0.05000000000000001,0.20127141
0.061009318,2700.0,26,-22.388718,0.046629485,1.203375,0.08333333333333333,0.83866245,540.0,0.075,0.20125823
0.06098129,2800.0,27,-20.860832,0.047005307,1.5017757,0.06833333333333334,0.83873636,560.0,0.11666666666666665,0.2012216
0.06097986,2900.0,28,-25.380777,0.047305375,0.9073772,0.051666666666666666,0.83869046,580.0,0.041666666666666664,0.20121334
0.061005678,3000.0,29,-25.663176,0.047611725,1.094301,0.08,0.83861727,600.0,0.05000000000000001,0.2011913
0.06099895,3100.0,30,-24.392157,0.047896728,1.3619498,0.07333333333333332,0.83863115,620.0,0.041666666666666664,0.20119186
0.0610235,3200.0,31,-25.576319,0.047977697,1.0921825,0.06333333333333334,0.8385404,640.0,0.05833333333333334,0.20120575
0.061006784,3300.0,32,-25.144625,0.048178285,1.4120898,0.08,0.838562,660.0,0.075,0.20122315
0.06100264,3400.0,33,-26.820526,0.048130427,1.5335985,0.06333333333333334,0.83855265,680.0,0.049999999999999996,0.20124872
0.06099768,3500.0,34,-25.843557,0.048029985,1.3525075,0.06666666666666667,0.8385777,700.0,0.06666666666666667,0.20123713
0.06104864,3600.0,35,-26.798044,0.048126776,1.655592,0.075,0.83862066,720.0,0.08333333333333333,0.20124216
0.06107754,3700.0,36,-27.40647,0.04812479,1.4389242,0.07333333333333335,0.83868307,740.0,0.06666666666666667,0.20124857
0.061048154,3800.0,37,-28.763025,0.048170377,1.8435841,0.05666666666666667,0.838636,760.0,0.075,0.20125036
0.061039124,3900.0,38,-27.813246,0.048076227,1.2888544,0.07333333333333335,0.83863646,780.0,0.08333333333333333,0.20125212
0.06101932,4000.0,39,-29.766577,0.048063945,2.1224859,0.06666666666666667,0.83863974,800.0,0.075,0.20125389
0.061033193,4100.0,40,-28.005575,0.048055068,1.835486,0.08833333333333333,0.8385854,820.0,0.06666666666666667,0.20125033
0.061022196,4200.0,41,-30.623064,0.04794329,1.4114147,0.06833333333333334,0.8386347,840.0,0.025000000000000005,0.20124872
0.061007813,4300.0,42,-29.938995,0.047891896,1.4612807,0.085,0.83862996,860.0,0.08333333333333333,0.20125645
0.06100462,4400.0,43,-30.210562,0.047815476,1.1744252,0.07666666666666666,0.8386503,880.0,0.05833333333333333,0.20125629
0.06100926,4500.0,44,-30.586966,0.04767559,1.9855715,0.055,0.8386509,900.0,0.05833333333333333,0.20126499
0.061018202,4600.0,45,-31.049726,0.04759663,1.8953714,0.08,0.8386151,920.0,0.041666666666666664,0.2012754
0.061033055,4700.0,46,-32.460026,0.047533374,1.505632,0.085,0.8385741,940.0,0.041666666666666664,0.20127131
0.0610252,4800.0,47,-30.180008,0.047465857,2.1999457,0.05833333333333333,0.838619,960.0,0.125,0.20127344
0.061034784,4900.0,48,-30.699564,0.04756881,1.6079855,0.07333333333333333,0.83864933,980.0,0.05833333333333333,0.2012835
0.061021402,5000.0,49,-28.395613,0.047582895,1.7427502,0.09333333333333334,0.83871007,1000.0,0.125,0.20128666
