test/mean_Q,train/success_rate,stats_g/std,stats_g/mean,test/episode,test/success_rate,train/episode,stats_o/std,train/critic_loss,stats_o/mean,epoch
-0.6405141,0.05333333333333334,0.06201211,0.8388899,20.0,0.10000000000000002,100.0,0.041964132,0.025306059,0.20110458,0
-0.40849698,0.06833333333333334,0.061551046,0.8390105,40.0,0.016666666666666666,200.0,0.048145566,0.058831315,0.20107193,1
-0.5141395,0.06166666666666667,0.06113909,0.8391831,60.0,0.041666666666666664,300.0,0.048482627,0.069775544,0.20103337,2
-0.5937865,0.06166666666666667,0.061099347,0.83921915,80.0,0.06666666666666667,400.0,0.049839716,0.049060214,0.20115054,3
-0.4429693,0.06666666666666667,0.06122978,0.8396826,100.0,0.049999999999999996,500.0,0.050633866,0.10944279,0.20141906,4
-0.3627778,0.05333333333333334,0.061157197,0.8394308,120.0,0.06666666666666667,600.0,0.050385375,0.10417602,0.20143957,5
-0.34184977,0.043333333333333335,0.06091324,0.83916426,140.0,0.08333333333333333,700.0,0.05147082,0.09337133,0.2013802,6
-0.43940678,0.065,0.060996667,0.83912665,160.0,0.08333333333333333,800.0,0.052175533,0.086979754,0.20146807,7
-0.38708624,0.05333333333333334,0.06107181,0.83925086,180.0,0.06666666666666667,900.0,0.052240685,0.096660286,0.20149744,8
-0.3546888,0.06333333333333334,0.061068043,0.8392935,200.0,0.08333333333333333,1000.0,0.052303065,0.10631904,0.20143937,9
-0.31829992,0.07666666666666667,0.060982037,0.8389778,220.0,0.08333333333333333,1100.0,0.052645043,0.08248476,0.20135212,10
-0.4750382,0.06999999999999999,0.060956355,0.8389077,240.0,0.09166666666666667,1200.0,0.052789193,0.06670273,0.20137186,11
-0.3908155,0.056666666666666664,0.06093822,0.83884126,260.0,0.06666666666666667,1300.0,0.05290694,0.08591429,0.20143692,12
-0.41790965,0.06666666666666667,0.060935903,0.8386631,280.0,0.03333333333333333,1400.0,0.05303313,0.062435836,0.20139413,13
-0.48134974,0.06166666666666667,0.060935605,0.8385408,300.0,0.041666666666666664,1500.0,0.052768916,0.072779045,0.20136876,14
-0.5209099,0.065,0.06085745,0.83858484,320.0,0.09166666666666667,1600.0,0.052883375,0.04524861,0.20131345,15
-0.5124865,0.045000000000000005,0.06089826,0.8386302,340.0,0.041666666666666664,1700.0,0.05304561,0.050733257,0.20130579,16
-0.4360681,0.07666666666666666,0.060941186,0.83881027,360.0,0.03333333333333333,1800.0,0.05305453,0.05889221,0.20132782,17
-0.51158476,0.08166666666666667,0.060979728,0.8388295,380.0,0.049999999999999996,1900.0,0.053294595,0.056376487,0.20127983,18
-0.43662855,0.06166666666666667,0.06101134,0.8387902,400.0,0.075,2000.0,0.053894147,0.05928682,0.20119733,19
-0.4142808,0.05666666666666667,0.061012056,0.8387435,420.0,0.05833333333333333,2100.0,0.05378751,0.062547565,0.2012142,20
-0.42165032,0.06166666666666667,0.06105673,0.83879095,440.0,0.075,2200.0,0.053614065,0.06433684,0.20121336,21
-0.36482525,0.06,0.06101723,0.83868414,460.0,0.05833333333333334,2300.0,0.053591285,0.054579645,0.20115133,22
-0.5298049,0.056666666666666664,0.060978685,0.8387187,480.0,0.06666666666666667,2400.0,0.05353177,0.048555095,0.20111972,23
-0.39772487,0.06166666666666667,0.060978327,0.83875275,500.0,0.07500000000000001,2500.0,0.053464036,0.06976253,0.20115435,24
-0.5001734,0.05666666666666667,0.060986713,0.8387305,520.0,0.05000000000000001,2600.0,0.053443093,0.06219716,0.20117986,25
-0.41767916,0.08166666666666667,0.061009318,0.83866245,540.0,0.075,2700.0,0.053361278,0.062911056,0.20116924,26
-0.37780356,0.06333333333333334,0.06098129,0.83873636,560.0,0.11666666666666665,2800.0,0.05351317,0.05695196,0.20112868,27
-0.42578292,0.05333333333333334,0.06097986,0.83869046,580.0,0.041666666666666664,2900.0,0.05364595,0.06747439,0.20111829,28
-0.3948257,0.07333333333333335,0.061005678,0.83861727,600.0,0.03333333333333333,3000.0,0.05366227,0.060779203,0.20109342,29
-0.4386399,0.07166666666666667,0.06099895,0.83863115,620.0,0.041666666666666664,3100.0,0.053630278,0.057077974,0.20110674,30
-0.31462404,0.05333333333333334,0.0610235,0.8385404,640.0,0.05833333333333334,3200.0,0.053556513,0.06304263,0.20113795,31
-0.3747475,0.07500000000000001,0.061006784,0.838562,660.0,0.06666666666666667,3300.0,0.053518426,0.05801076,0.2011673,32
-0.43607965,0.06333333333333334,0.06100264,0.83855265,680.0,0.041666666666666664,3400.0,0.053422254,0.056247324,0.2011867,33
-0.39071664,0.065,0.06099768,0.8385777,700.0,0.03333333333333333,3500.0,0.053406715,0.05417164,0.20118497,34
-0.42238688,0.06666666666666667,0.06104864,0.83862066,720.0,0.075,3600.0,0.05343509,0.057114284,0.20119838,35
-0.4052951,0.07166666666666667,0.06107754,0.83868307,740.0,0.05833333333333334,3700.0,0.05335598,0.05161168,0.2012161,36
-0.40830556,0.05000000000000001,0.061048154,0.838636,760.0,0.05000000000000001,3800.0,0.05322468,0.05028015,0.20121552,37
-0.34748435,0.06833333333333334,0.061039124,0.83863646,780.0,0.08333333333333333,3900.0,0.053178195,0.052532565,0.2012278,38
-0.40796724,0.06333333333333334,0.06101932,0.83863974,800.0,0.06666666666666667,4000.0,0.053160075,0.043957602,0.20123784,39
-0.433056,0.07333333333333332,0.061033193,0.8385854,820.0,0.06666666666666667,4100.0,0.053207856,0.049762458,0.20121928,40
-0.3975152,0.06833333333333334,0.061022196,0.8386347,840.0,0.025000000000000005,4200.0,0.053198356,0.05907933,0.20121336,41
-0.48461547,0.07,0.061007813,0.83862996,860.0,0.08333333333333333,4300.0,0.053253382,0.051566422,0.20122437,42
-0.44476327,0.06999999999999999,0.06100462,0.8386503,880.0,0.05833333333333333,4400.0,0.053281803,0.06421939,0.20122345,43
-0.37828323,0.045000000000000005,0.06100926,0.8386509,900.0,0.05833333333333333,4500.0,0.053219844,0.057830077,0.20122905,44
-0.35578585,0.075,0.061018202,0.8386151,920.0,0.03333333333333333,4600.0,0.05316246,0.054406032,0.20124085,45
-0.41484752,0.075,0.061033055,0.8385741,940.0,0.025000000000000005,4700.0,0.053137198,0.052822907,0.20124339,46
-0.38747892,0.05166666666666667,0.0610252,0.838619,960.0,0.11666666666666665,4800.0,0.053181082,0.055712517,0.20124389,47
-0.50577635,0.06333333333333334,0.061034784,0.83864933,980.0,0.06666666666666667,4900.0,0.053123724,0.046342183,0.20125563,48
-0.41835442,0.08333333333333333,0.061021402,0.83871007,1000.0,0.10833333333333334,5000.0,0.05312945,0.05210041,0.20125668,49
